processo,uf,golpe,contrato,extrato,comprovante,dossie,demonstrativo,laudo,perda,p_perda_validacao
9251212-05.2025.8.05.2366,BA,1,1,1,0,0,1,1,0,0.164017
9397740-33.2025.8.21.7867,RS,0,1,1,1,1,0,1,0,0.039066
8463341-72.2025.8.15.8109,PB,1,0,0,0,0,1,1,1,0.983843
1455694-45.2025.8.19.6371,RJ,1,1,1,1,1,1,1,0,0.061362
7872130-73.2025.8.24.4797,SC,0,1,1,1,1,1,1,0,0.015295
6718346-13.2025.8.03.1588,AP,1,1,1,0,1,1,1,0,0.303948
1190046-11.2025.8.06.5221,CE,0,1,1,0,1,1,0,0,0.055166
9593560-62.2025.8.03.1807,AP,1,1,1,1,0,1,1,0,0.093868
7141583-43.2025.8.14.5671,PA,1,1,1,1,1,1,1,0,0.038112
1658901-06.2025.8.22.5340,RO,1,1,1,1,1,0,1,1,0.055499
9240957-42.2025.8.21.5102,RS,1,0,1,0,0,0,1,1,0.894165
1611197-41.2025.8.17.1543,PE,1,1,0,0,0,1,1,0,0.775866
9885918-13.2025.8.06.8965,CE,1,1,1,1,0,0,0,0,0.064292
1823786-48.2025.8.20.9236,RN,1,1,1,0,1,1,1,1,0.114895
5843385-37.2025.8.20.3071,RN,1,1,0,0,1,1,0,1,0.726530
8919838-63.2025.8.04.0438,AM,1,0,1,0,0,0,1,0,0.925200
3185993-49.2025.8.21.9341,RS,1,1,0,1,1,1,1,1,0.578614
3467859-71.2025.8.14.7923,PA,0,1,1,0,1,0,1,0,0.075828
9844186-46.2025.8.01.4186,AC,1,1,1,0,1,1,0,0,0.127005
5710338-14.2025.8.11.7524,MT,1,1,1,0,1,0,1,0,0.180084
2322107-36.2025.8.20.7267,RN,0,1,1,1,1,1,1,0,0.012137
7608831-45.2025.8.15.6571,PB,0,1,1,1,0,0,1,0,0.023792
7129581-84.2025.8.16.5515,PR,1,1,1,0,1,1,1,0,0.113683
6589838-04.2025.8.25.6088,SE,1,1,1,1,1,1,1,0,0.047966
7420338-97.2025.8.26.3689,SP,0,1,1,1,1,1,0,0,0.017843
2463219-70.2025.8.21.3296,RS,1,1,1,1,0,0,0,0,0.097993
6138741-99.2025.8.16.5784,PR,1,1,1,1,1,1,1,0,0.031583
8787901-54.2025.8.27.3017,TO,0,1,1,0,1,0,1,0,0.073113
3278624-11.2025.8.10.4187,MA,1,1,1,1,1,1,1,0,0.028422
3432773-70.2025.8.09.3665,GO,1,1,1,1,1,0,1,0,0.099485
9357883-17.2025.8.05.2970,BA,0,1,1,0,0,1,0,0,0.071240
9161195-76.2025.8.01.9179,AC,1,1,1,0,1,1,1,1,0.124557
6695805-82.2025.8.17.1971,PE,1,1,1,1,1,1,0,0,0.050945
2817358-58.2025.8.21.9356,RS,0,0,1,0,0,0,1,0,0.762964
1358167-88.2025.8.22.1001,RO,0,1,1,1,0,1,1,0,0.012206
1521246-39.2025.8.24.7302,SC,1,0,1,1,0,1,1,0,0.468174
7887237-65.2025.8.03.4126,AP,0,1,1,1,0,1,1,0,0.035823
5377832-59.2025.8.13.8586,MG,0,1,0,0,1,1,1,0,0.576855
4870160-23.2025.8.13.5796,MG,1,1,1,1,1,1,0,0,0.044159
6666918-31.2025.8.02.8363,AL,1,1,1,1,1,1,1,0,0.047358
2902111-74.2025.8.01.8539,AC,0,1,1,0,0,1,1,0,0.044596
7542997-47.2025.8.05.9158,BA,1,1,0,0,0,1,1,1,0.796172
7404723-81.2025.8.10.0049,MA,1,0,1,0,0,0,1,0,0.788878
7152213-01.2025.8.07.4161,DF,1,1,1,1,1,1,1,0,0.050851
9126207-49.2025.8.01.5670,AC,0,1,0,0,1,1,1,1,0.498042
6289192-05.2025.8.27.3111,TO,0,1,1,1,0,1,1,0,0.012567
1512824-37.2025.8.20.0198,RN,1,0,1,1,1,0,0,0,0.568550
3988583-18.2025.8.06.7394,CE,0,1,1,0,0,1,1,0,0.051691
6582691-45.2025.8.11.2757,MT,0,0,1,0,1,1,1,0,0.500219
6620069-74.2025.8.06.2390,CE,1,1,0,0,1,1,1,1,0.771337
2950521-54.2025.8.17.7471,PE,0,1,1,1,1,1,1,0,0.017715
3769978-42.2025.8.26.5085,SP,1,1,1,1,1,1,1,0,0.043757
7471846-06.2025.8.06.0660,CE,1,1,1,1,1,0,1,0,0.065962
8053310-57.2025.8.15.8829,PB,0,1,1,0,1,1,0,0,0.049885
7327739-98.2025.8.08.9971,ES,1,1,1,1,1,1,1,0,0.055833
3140595-16.2025.8.18.1041,PI,1,1,1,0,1,0,1,1,0.155969
2762954-63.2025.8.03.8515,AP,1,1,1,1,1,0,1,0,0.146870
3789722-81.2025.8.07.2844,DF,1,1,0,1,1,1,1,0,0.527157
9021021-40.2025.8.16.8433,PR,1,1,1,1,0,1,0,0,0.033540
8877931-63.2025.8.05.8756,BA,0,0,0,0,1,1,1,1,0.969878
1498104-06.2025.8.03.6524,AP,1,0,1,1,1,1,1,1,0.696457
5446291-63.2025.8.21.9035,RS,1,0,0,1,1,0,0,1,0.980962
9774424-17.2025.8.13.0496,MG,0,1,1,1,1,1,0,0,0.018219
8092122-37.2025.8.01.6746,AC,1,1,1,0,1,1,1,0,0.124594
6592554-37.2025.8.20.6003,RN,1,1,1,1,1,1,1,0,0.035459
6106595-71.2025.8.24.3575,SC,0,1,1,0,1,1,1,0,0.051009
1280372-81.2025.8.12.0749,MS,1,1,1,0,1,1,1,0,0.109437
7417166-70.2025.8.16.0984,PR,0,1,1,0,1,1,1,0,0.040648
2432337-87.2025.8.27.1252,TO,1,1,1,1,1,1,1,0,0.038309
2919873-48.2025.8.03.9253,AP,1,0,1,1,1,0,0,1,0.805521
6535018-12.2025.8.11.5286,MT,0,1,1,1,1,1,1,0,0.012428
5467958-35.2025.8.14.0808,PA,1,1,1,1,0,1,1,0,0.035645
3368703-36.2025.8.03.2082,AP,0,0,1,1,1,0,1,1,0.585810
2203273-50.2025.8.20.7048,RN,0,1,1,0,1,1,1,0,0.043644
6533242-32.2025.8.05.3506,BA,1,0,1,0,1,1,0,1,0.826734
5101381-36.2025.8.04.2553,AM,0,0,1,0,1,1,1,1,0.744966
1122760-15.2025.8.22.7525,RO,1,1,1,1,1,1,0,0,0.035699
2206757-64.2025.8.09.0569,GO,0,0,1,1,0,1,1,1,0.326985
1730295-08.2025.8.02.0258,AL,1,1,1,1,0,0,1,0,0.071807
7223542-54.2025.8.09.1021,GO,1,0,1,0,0,1,0,1,0.837949
6589526-46.2025.8.12.1714,MS,0,1,1,0,1,1,1,0,0.043473
3595666-45.2025.8.05.4252,BA,1,1,1,0,1,1,0,0,0.162609
9449180-07.2025.8.27.7340,TO,1,1,1,1,1,0,1,0,0.062217
6655749-93.2025.8.27.3278,TO,1,1,1,1,0,1,0,0,0.033992
4419457-15.2025.8.13.9203,MG,1,1,1,1,0,1,1,0,0.043601
1506475-14.2025.8.16.7727,PR,1,0,1,0,1,1,1,0,0.737219
1775244-57.2025.8.01.0491,AC,1,0,0,0,1,1,1,1,0.983685
5356737-90.2025.8.24.0338,SC,1,1,1,0,1,1,1,0,0.133213
5750150-42.2025.8.12.3065,MS,1,1,1,1,1,1,1,0,0.032999
7636968-30.2025.8.20.2122,RN,1,1,1,1,1,0,1,0,0.061854
3275718-52.2025.8.13.7944,MG,1,1,1,0,1,1,0,0,0.143360
8373999-25.2025.8.27.8058,TO,0,1,1,0,1,1,1,0,0.045272
4449081-06.2025.8.24.9380,SC,1,1,1,1,1,1,1,0,0.041004
9992273-26.2025.8.11.5436,MT,0,1,1,1,1,0,0,0,0.021230
6470527-04.2025.8.09.1516,GO,1,1,1,1,0,0,1,0,0.097226
3771767-45.2025.8.03.0849,AP,1,0,1,1,1,1,1,1,0.727824
4126617-43.2025.8.18.3592,PI,1,1,1,1,0,1,1,0,0.028596
6241292-33.2025.8.18.8225,PI,0,1,1,1,1,1,1,0,0.010908
6303146-41.2025.8.25.2994,SE,0,1,1,1,0,1,1,0,0.016722
8788260-09.2025.8.17.3799,PE,0,1,1,1,1,1,1,0,0.018000
9192074-94.2025.8.20.3060,RN,1,0,0,1,1,1,1,1,0.943413
9543778-53.2025.8.17.3758,PE,0,1,0,1,1,0,1,0,0.389687
5009418-19.2025.8.19.0602,RJ,1,1,0,1,1,0,0,0,0.679700
1737912-71.2025.8.06.6017,CE,1,1,1,1,0,1,1,0,0.041598
8540122-28.2025.8.09.7083,GO,1,1,1,1,1,0,0,0,0.102666
1486232-48.2025.8.20.7781,RN,1,1,1,0,0,1,1,0,0.109678
7935510-06.2025.8.20.3522,RN,1,0,0,1,1,0,0,0,0.965162
7095662-23.2025.8.15.5943,PB,1,0,1,0,1,1,0,1,0.774564
6932639-36.2025.8.27.3354,TO,1,1,0,1,1,1,1,0,0.421025
6281308-95.2025.8.01.4136,AC,1,0,1,0,1,1,0,1,0.750265
1909769-23.2025.8.03.6190,AP,0,1,1,1,1,1,1,0,0.036385
4650099-98.2025.8.21.4247,RS,1,1,1,1,1,1,1,0,0.066010
8563269-07.2025.8.06.5995,CE,0,1,1,1,1,1,1,0,0.016337
9157406-49.2025.8.16.0374,PR,1,1,1,1,1,1,0,0,0.031497
6716840-23.2025.8.22.2261,RO,0,1,1,1,1,1,0,0,0.012848
6398454-91.2025.8.08.6996,ES,1,0,1,1,1,1,1,0,0.561150
2291095-88.2025.8.24.3022,SC,1,1,1,1,0,1,1,0,0.040012
9340919-06.2025.8.21.6912,RS,1,1,1,1,1,0,1,1,0.105293
3850090-29.2025.8.18.5802,PI,0,1,1,1,1,1,0,0,0.011992
1088214-05.2025.8.05.0023,BA,0,1,1,0,0,1,1,0,0.063572
4479073-60.2025.8.20.4981,RN,1,1,1,1,1,1,1,0,0.034183
7924053-61.2025.8.22.5899,RO,1,1,1,0,0,1,1,0,0.106039
8832221-14.2025.8.16.0565,PR,1,1,1,1,1,1,1,0,0.034440
6811962-01.2025.8.17.9085,PE,0,1,1,1,1,0,0,0,0.030796
7140302-11.2025.8.27.7801,TO,1,1,1,1,1,1,1,0,0.035185
5755107-80.2025.8.02.1225,AL,0,1,1,0,1,1,1,0,0.056346
8996260-22.2025.8.15.0925,PB,1,1,1,0,1,1,1,0,0.135463
8094780-29.2025.8.14.2002,PA,0,1,1,1,0,1,1,0,0.012828
8341531-12.2025.8.08.9511,ES,0,1,1,1,0,0,1,0,0.031292
8719780-63.2025.8.12.9397,MS,0,1,1,1,1,1,1,0,0.012440
6404842-56.2025.8.19.4460,RJ,1,1,1,0,1,0,1,0,0.266823
1573294-48.2025.8.18.8249,PI,0,1,1,1,1,0,1,0,0.018674
2751055-95.2025.8.18.9900,PI,1,1,1,1,1,1,1,0,0.029946
1813212-40.2025.8.03.1140,AP,0,1,1,1,1,1,1,0,0.036385
4232731-10.2025.8.06.9093,CE,1,1,1,1,1,0,0,0,0.070511
6607190-50.2025.8.01.1535,AC,0,0,1,1,1,1,1,0,0.229762
3775266-47.2025.8.08.0851,ES,1,1,0,1,1,0,1,0,0.646327
3505966-31.2025.8.01.3088,AC,1,0,1,1,0,1,1,0,0.453166
9324218-14.2025.8.17.1294,PE,0,1,1,1,1,1,1,0,0.017108
5545109-31.2025.8.24.7109,SC,1,0,0,0,1,1,1,1,0.985045
1143917-96.2025.8.22.3789,RO,0,1,1,0,0,1,1,0,0.042757
7831628-21.2025.8.02.5827,AL,0,1,0,0,0,0,1,1,0.684011
6558510-50.2025.8.14.2861,PA,1,1,1,1,1,1,0,0,0.047124
6423192-92.2025.8.25.9262,SE,0,1,1,1,1,0,1,0,0.028700
2852801-62.2025.8.17.8506,PE,1,1,1,0,1,1,1,1,0.151441
8965276-36.2025.8.08.8790,ES,1,1,1,1,0,1,1,0,0.052369
2543307-96.2025.8.18.4427,PI,0,1,1,1,1,1,1,0,0.011108
6406050-64.2025.8.14.9452,PA,0,0,0,1,0,1,1,1,0.846477
1988390-18.2025.8.22.4755,RO,1,0,0,0,0,1,1,1,0.981777
1012344-60.2025.8.06.5635,CE,1,0,0,1,1,1,0,1,0.950322
9530038-82.2025.8.06.2923,CE,0,1,1,1,0,1,1,0,0.014797
7658855-02.2025.8.07.3498,DF,1,1,1,1,0,0,1,0,0.086580
9358679-99.2025.8.02.9733,AL,1,1,0,1,1,1,1,0,0.493802
1097944-19.2025.8.02.0373,AL,0,1,1,0,0,1,1,0,0.059528
2587283-32.2025.8.14.1262,PA,1,1,1,0,1,1,1,0,0.122735
3713368-48.2025.8.14.2115,PA,1,0,0,0,0,1,1,1,0.984999
3750263-05.2025.8.10.5898,MA,0,0,1,1,1,1,1,0,0.186852
7735424-65.2025.8.01.2099,AC,1,1,1,1,1,0,0,0,0.061391
1021958-36.2025.8.15.6983,PB,1,0,1,0,1,1,1,1,0.761879
4997867-77.2025.8.15.2050,PB,1,1,1,1,1,0,0,0,0.068567
9591866-38.2025.8.15.6116,PB,1,0,1,0,1,1,1,1,0.780103
7985150-96.2025.8.13.9281,MG,0,1,1,0,1,0,1,0,0.098396
6387069-41.2025.8.13.7089,MG,0,1,1,0,1,1,1,0,0.056826
4852441-25.2025.8.01.0558,AC,1,1,0,1,1,1,1,1,0.412990
8447442-54.2025.8.03.5390,AP,1,0,1,0,1,1,1,1,0.891581
1005180-89.2025.8.14.7540,PA,1,1,1,1,1,1,1,1,0.040171
5589383-01.2025.8.17.6578,PE,1,1,1,1,1,1,1,0,0.047793
3664002-36.2025.8.05.1005,BA,1,0,1,1,0,1,0,1,0.570711
5124711-24.2025.8.14.7564,PA,1,1,1,1,1,0,1,0,0.067040
7676024-26.2025.8.14.9078,PA,0,1,1,1,0,0,1,0,0.026202
9503704-43.2025.8.02.9086,AL,1,0,1,1,0,0,1,1,0.625863
5416619-79.2025.8.08.7857,ES,1,1,0,1,1,1,1,1,0.550190
4574661-94.2025.8.04.9472,AM,0,1,1,1,1,1,1,0,0.035630
7306115-15.2025.8.09.5002,GO,0,1,1,1,1,1,1,0,0.022280
5755192-42.2025.8.10.0287,MA,1,0,0,1,1,1,0,1,0.930958
1544360-86.2025.8.07.3530,DF,1,1,1,1,1,1,1,0,0.050851
7004572-24.2025.8.17.4907,PE,1,1,1,1,1,1,1,0,0.047793
7666678-89.2025.8.16.6831,PR,1,0,1,1,1,1,0,1,0.450866
6551745-58.2025.8.26.3141,SP,1,1,1,0,1,0,0,0,0.234498
6410667-23.2025.8.01.5205,AC,1,1,1,1,1,1,1,0,0.036760
5844849-65.2025.8.02.1644,AL,1,0,1,0,0,1,1,1,0.779777
8869943-08.2025.8.04.2993,AM,1,0,1,0,1,0,0,1,0.929825
4611496-55.2025.8.16.6149,PR,1,1,1,0,1,1,1,0,0.107782
2891161-34.2025.8.06.8767,CE,1,1,1,0,0,1,1,0,0.125871
7828351-26.2025.8.05.4125,BA,1,0,0,0,0,1,1,1,0.988256
3606165-53.2025.8.20.5481,RN,1,1,1,1,0,1,1,0,0.033078
4367031-18.2025.8.16.7401,PR,1,0,1,0,1,1,1,0,0.737219
2908867-50.2025.8.02.4408,AL,1,1,1,0,0,1,1,1,0.139414
6492989-94.2025.8.26.0936,SP,1,1,1,1,1,1,1,0,0.044012
6405935-80.2025.8.06.0111,CE,1,0,1,1,1,1,1,0,0.483007
1973463-89.2025.8.19.5300,RJ,1,1,1,0,1,1,1,0,0.185550
5534253-89.2025.8.19.6110,RJ,1,0,1,1,1,1,1,1,0.587633
7653197-01.2025.8.01.4984,AC,1,0,0,0,1,1,1,1,0.981381
4538059-31.2025.8.08.7982,ES,0,1,1,0,1,1,1,0,0.070176
5166420-75.2025.8.08.9313,ES,1,0,1,0,1,1,1,1,0.818679
7098823-30.2025.8.25.7684,SE,0,1,1,0,0,0,1,0,0.095196
5099192-32.2025.8.04.5932,AM,1,1,1,0,1,1,1,1,0.259227
9323605-90.2025.8.11.2236,MT,1,0,1,0,1,1,1,1,0.742430
1846500-99.2025.8.25.5395,SE,1,0,1,0,0,0,1,1,0.864742
7046054-61.2025.8.26.9569,SP,1,1,1,1,1,1,1,0,0.044012
5486302-90.2025.8.16.0334,PR,1,0,0,0,1,1,1,1,0.982263
4471840-59.2025.8.16.6438,PR,0,1,1,1,1,0,1,0,0.020793
6241575-88.2025.8.25.4005,SE,0,1,1,0,0,1,1,0,0.051793
4729474-85.2025.8.20.6839,RN,0,1,1,1,1,1,1,0,0.012137
2534041-61.2025.8.12.9265,MS,1,1,1,1,1,1,1,0,0.035220
4293043-68.2025.8.05.6467,BA,1,0,1,0,0,1,1,1,0.809430
9472269-06.2025.8.20.3079,RN,1,1,1,1,0,1,1,0,0.036184
4115989-43.2025.8.24.7914,SC,1,1,1,1,0,1,1,0,0.039119
8661754-17.2025.8.04.2303,AM,0,0,0,1,1,1,1,1,0.943262
4641045-39.2025.8.22.8226,RO,1,1,1,1,1,1,1,0,0.035284
2997607-46.2025.8.22.0929,RO,1,0,0,1,1,1,1,1,0.938733
1832228-92.2025.8.06.0003,CE,1,0,0,1,1,1,1,1,0.948980
3667692-77.2025.8.24.3050,SC,1,1,1,1,1,1,1,0,0.040024
3307565-84.2025.8.06.5583,CE,0,1,1,1,1,1,1,0,0.015234
4199963-30.2025.8.17.9947,PE,1,1,1,1,0,1,1,0,0.046645
8254417-90.2025.8.04.8581,AM,1,1,1,0,1,1,1,1,0.261635
2880596-10.2025.8.11.3491,MT,1,1,1,0,1,1,1,0,0.107668
8441451-71.2025.8.17.7762,PE,0,1,1,1,0,1,1,0,0.017408
8384065-59.2025.8.08.4806,ES,1,0,1,0,0,1,0,1,0.813097
2363409-29.2025.8.11.5341,MT,1,0,1,1,0,0,1,0,0.556484
2916962-20.2025.8.08.6580,ES,1,0,1,1,1,1,1,1,0.550360
5209032-36.2025.8.07.9678,DF,1,1,1,0,1,1,0,0,0.183215
7042505-98.2025.8.21.4260,RS,1,1,1,1,0,0,1,0,0.099629
3281740-41.2025.8.11.7703,MT,1,1,1,1,1,1,0,0,0.037434
1638191-28.2025.8.24.2293,SC,1,1,1,1,1,1,1,0,0.041816
4402307-38.2025.8.17.0316,PE,0,1,1,0,1,1,1,0,0.057700
7363106-86.2025.8.04.6119,AM,1,0,1,1,1,1,0,1,0.687831
5504978-01.2025.8.27.8591,TO,0,1,1,1,1,1,0,0,0.014915
4550653-38.2025.8.18.7110,PI,1,1,1,1,0,0,0,0,0.047732
8513520-05.2025.8.22.3955,RO,1,1,0,1,1,1,1,1,0.410560
4201008-35.2025.8.06.4143,CE,1,1,1,1,1,1,1,0,0.042133
8949389-25.2025.8.26.6710,SP,0,1,1,1,1,1,1,0,0.016642
5368417-15.2025.8.21.7432,RS,1,1,1,1,1,1,1,0,0.066385
9049274-88.2025.8.01.3052,AC,1,1,0,0,1,1,1,0,0.735718
1162844-68.2025.8.25.5543,SE,1,1,1,1,0,1,1,0,0.040360
6517479-26.2025.8.14.9254,PA,1,1,1,1,1,1,1,0,0.038112
7726628-65.2025.8.07.2147,DF,1,1,1,1,0,0,0,0,0.089965
9248215-90.2025.8.26.0136,SP,0,0,1,1,1,1,1,0,0.266382
1764506-64.2025.8.17.0703,PE,0,1,0,0,0,0,1,1,0.668014
1307451-45.2025.8.19.5883,RJ,0,0,0,1,1,0,1,0,0.944856
3646318-34.2025.8.15.6389,PB,0,0,1,1,0,1,1,0,0.237639
8246137-18.2025.8.17.1376,PE,1,0,0,0,1,1,1,1,0.987125
5153954-01.2025.8.04.1234,AM,1,0,1,1,0,1,1,0,0.678536
1518872-16.2025.8.02.1628,AL,1,1,1,0,1,1,1,0,0.152080
8773987-21.2025.8.03.2594,AP,0,1,0,0,1,1,1,1,0.732415
2491897-29.2025.8.03.9126,AP,1,1,0,0,1,1,1,1,0.886439
9220314-63.2025.8.21.6522,RS,0,1,1,0,1,1,1,0,0.080316
3477947-46.2025.8.08.8763,ES,1,1,1,0,1,1,1,0,0.175332
4135820-29.2025.8.09.6364,GO,1,0,1,0,1,0,1,1,0.896273
6363115-12.2025.8.02.6173,AL,0,1,1,1,0,1,0,0,0.017170
7688079-57.2025.8.05.6993,BA,0,1,1,0,1,1,1,0,0.065627
7283150-67.2025.8.02.4724,AL,1,0,1,1,1,1,0,0,0.518313
4893496-06.2025.8.20.1636,RN,1,1,1,1,1,1,1,0,0.034183
3060370-39.2025.8.18.0401,PI,0,0,0,0,0,1,0,1,0.944953
7144380-67.2025.8.16.6089,PR,0,1,1,1,1,1,1,0,0.011562
2182008-14.2025.8.16.5029,PR,0,1,1,1,0,0,1,0,0.020279
1815731-30.2025.8.04.9189,AM,1,0,0,1,0,1,1,1,0.976733
4580790-13.2025.8.19.6160,RJ,1,0,1,1,1,1,0,1,0.593221
6931149-99.2025.8.04.8130,AM,1,1,0,1,1,0,0,0,0.770380
6339404-61.2025.8.10.0067,MA,1,1,1,1,0,1,1,0,0.027638
3909028-43.2025.8.12.3102,MS,1,0,1,0,1,1,1,1,0.724699
9108565-29.2025.8.03.2962,AP,1,1,1,0,0,0,1,1,0.404603
7422231-16.2025.8.08.1894,ES,1,1,1,1,1,1,1,0,0.052471
1931554-98.2025.8.05.6713,BA,0,1,1,1,0,1,1,0,0.018663
6006171-17.2025.8.19.7002,RJ,1,0,1,1,0,1,1,0,0.577091
6206019-30.2025.8.18.6682,PI,1,1,1,1,0,1,1,0,0.029052
3055484-46.2025.8.27.9598,TO,0,1,1,1,1,1,1,0,0.012865
6313834-50.2025.8.19.5169,RJ,1,0,0,1,1,1,1,1,0.966122
7610654-25.2025.8.03.9814,AP,1,0,1,0,1,1,1,0,0.890976
5988681-67.2025.8.27.7920,TO,0,0,1,0,1,1,1,1,0.502103
6193887-74.2025.8.15.9178,PB,0,0,1,1,1,1,1,0,0.261257
5401704-71.2025.8.14.3584,PA,1,1,1,1,1,1,1,0,0.040171
9671841-77.2025.8.06.9195,CE,1,1,1,1,0,1,1,0,0.039948
3576482-89.2025.8.26.9501,SP,1,0,1,1,0,1,0,1,0.488677
1803646-14.2025.8.17.7614,PE,0,1,1,1,0,0,1,0,0.028446
1120284-56.2025.8.03.7009,AP,0,1,0,0,1,1,0,1,0.758566
2935769-45.2025.8.24.1840,SC,0,1,1,0,1,1,1,0,0.051391
7577112-00.2025.8.26.6872,SP,1,1,0,1,1,0,1,1,0.610380
2717138-25.2025.8.03.4479,AP,0,0,1,0,1,1,1,1,0.745955
3201066-98.2025.8.22.1052,RO,0,0,1,1,0,1,1,0,0.201096
4045945-12.2025.8.09.8920,GO,1,0,0,1,1,1,1,1,0.964895
1228934-63.2025.8.10.3031,MA,0,1,1,1,1,1,1,0,0.010703
7994609-59.2025.8.18.7098,PI,1,0,0,0,1,1,0,1,0.981035
4135707-77.2025.8.05.5276,BA,1,1,0,0,0,1,0,0,0.794224
6335448-06.2025.8.22.9142,RO,1,1,1,1,0,0,0,0,0.059150
6612448-28.2025.8.13.7865,MG,1,1,1,1,0,1,1,0,0.044016
5821706-90.2025.8.07.5904,DF,1,0,1,0,1,0,1,1,0.883165
8031316-72.2025.8.02.2648,AL,1,0,0,0,0,0,1,1,0.991446
4855137-83.2025.8.27.6461,TO,0,1,1,1,1,1,1,0,0.012659
7099300-25.2025.8.10.7970,MA,1,0,1,0,1,1,1,1,0.690424
3455856-47.2025.8.14.1963,PA,1,1,1,1,0,0,0,0,0.065650
8519119-01.2025.8.01.8924,AC,1,0,1,1,1,1,1,0,0.433437
7404134-11.2025.8.07.3092,DF,1,0,1,1,0,1,1,1,0.538094
8607680-44.2025.8.10.4098,MA,0,1,1,1,1,1,1,0,0.010397
5475002-55.2025.8.17.6017,PE,1,1,1,1,0,1,1,0,0.043992
6991722-69.2025.8.26.4780,SP,1,1,1,1,1,0,1,0,0.073325
2802258-67.2025.8.18.5629,PI,1,1,1,0,0,1,0,0,0.099379
4693030-34.2025.8.07.6995,DF,1,1,1,0,1,0,1,0,0.246444
6859845-63.2025.8.26.0180,SP,0,1,1,0,1,1,0,0,0.055548
9412123-58.2025.8.02.6074,AL,0,1,1,1,1,0,1,0,0.028329
1677237-64.2025.8.02.1335,AL,1,0,1,1,1,1,1,1,0.514763
8545468-91.2025.8.17.2169,PE,1,1,1,0,0,1,1,0,0.150280
8879867-14.2025.8.12.5224,MS,1,1,1,1,0,1,0,0,0.032456
9257174-12.2025.8.05.4449,BA,1,1,1,0,0,0,1,0,0.248193
9870320-90.2025.8.14.5976,PA,0,1,1,1,0,1,1,0,0.014555
1594484-21.2025.8.13.3738,MG,0,0,1,1,0,1,1,1,0.262723
8241948-54.2025.8.03.3325,AP,0,1,1,1,1,1,0,0,0.037804
3463089-48.2025.8.05.6352,BA,1,1,1,1,1,1,1,0,0.051133
4704228-35.2025.8.17.8099,PE,0,0,1,0,1,1,1,0,0.572669
8768129-36.2025.8.27.9408,TO,1,1,1,1,1,1,1,1,0.034380
6860797-06.2025.8.18.5038,PI,0,1,1,0,0,1,1,0,0.035466
5141721-70.2025.8.16.3560,PR,0,1,1,1,1,1,1,0,0.012589
7437276-48.2025.8.07.1061,DF,1,1,1,1,1,1,1,0,0.050052
5583266-20.2025.8.15.3076,PB,1,1,1,1,0,1,1,0,0.039223
1633996-14.2025.8.03.6746,AP,1,1,1,0,0,1,1,0,0.258191
8833028-94.2025.8.11.4062,MT,1,1,1,1,0,1,1,0,0.032525
3480843-15.2025.8.13.4128,MG,1,1,1,1,1,1,1,0,0.047035
4789012-50.2025.8.26.5267,SP,1,1,1,0,1,0,1,0,0.222773
6394979-22.2025.8.07.7678,DF,1,1,1,1,0,1,1,0,0.051969
2087138-87.2025.8.17.5086,PE,1,1,1,1,1,1,1,0,0.047009
3838276-27.2025.8.22.4129,RO,1,0,1,0,1,1,1,0,0.736106
2470406-07.2025.8.08.9090,ES,1,1,1,0,0,1,1,0,0.170122
3772145-57.2025.8.19.5213,RJ,1,1,1,1,1,1,1,0,0.057065
6326614-36.2025.8.04.7952,AM,0,1,1,0,1,1,1,0,0.117816
6423942-84.2025.8.10.6546,MA,0,1,1,1,1,1,0,0,0.011505
4966012-03.2025.8.26.7744,SP,1,1,1,0,1,1,1,0,0.141471
5330739-28.2025.8.21.1953,RS,1,1,1,1,1,1,1,0,0.066385
7644083-91.2025.8.22.8241,RO,1,1,1,0,1,1,1,1,0.113106
4806423-23.2025.8.14.6190,PA,0,1,1,1,1,1,1,0,0.015265
2968142-15.2025.8.07.6471,DF,1,1,1,1,1,1,1,0,0.050052
2817138-01.2025.8.24.3461,SC,1,0,1,0,1,1,1,1,0.763250
3799813-93.2025.8.17.8717,PE,1,1,1,1,1,1,1,0,0.047218
9010798-84.2025.8.18.7389,PI,1,1,1,0,1,1,1,0,0.098586
9742490-96.2025.8.19.5904,RJ,1,1,1,0,0,1,0,0,0.177214
1137146-23.2025.8.24.6737,SC,1,1,1,0,0,1,1,0,0.125686
5046268-65.2025.8.22.6969,RO,1,1,1,1,0,0,1,0,0.054176
6134916-65.2025.8.11.9795,MT,1,1,1,0,0,1,1,0,0.113839
5861500-65.2025.8.01.5095,AC,1,1,1,0,0,1,1,0,0.120895
1054867-43.2025.8.15.1227,PB,1,1,1,1,1,0,1,0,0.065121
3640197-01.2025.8.25.7786,SE,0,1,1,1,1,1,1,0,0.016884
9441867-85.2025.8.13.2003,MG,0,1,1,1,0,1,1,0,0.017239
5724836-32.2025.8.20.7424,RN,1,1,1,1,0,0,1,0,0.054114
7681237-32.2025.8.15.8266,PB,1,1,1,1,1,0,0,0,0.074793
3328255-63.2025.8.27.6082,TO,0,1,1,0,1,1,1,1,0.049191
1598059-63.2025.8.16.6873,PR,0,1,1,1,1,1,1,0,0.012255
3048413-37.2025.8.11.0752,MT,0,0,1,0,1,0,1,1,0.625418
7204193-68.2025.8.07.6371,DF,1,0,0,0,0,1,1,1,0.987925
2250560-42.2025.8.02.7441,AL,0,1,1,1,1,1,1,0,0.016452
